               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11847,            0.018235,            0.068338,          1.0667e-05,            0.015385,          7.3814e-06,          1.6885e-06,              0.1055,             0.01279,            0.062836,              0.0721,              0.0031,              0.0031
                   1,              0.1138,            0.018283,            0.066906,          3.3871e-05,            0.058242,          3.5186e-05,          1.2408e-05,             0.10508,            0.012838,             0.06282,            0.043175,           0.0061753,           0.0061753
                   2,             0.10838,            0.019962,            0.065919,          0.00010585,            0.076224,          7.9067e-05,          2.2598e-05,             0.10469,            0.012955,            0.062817,            0.014124,           0.0091238,           0.0091238
                   3,             0.10173,            0.021105,            0.063697,            0.002722,           0.0043478,          0.00020493,           2.098e-05,             0.10645,            0.013674,              0.0732,            0.009406,            0.009406,            0.009406
                   4,            0.093787,            0.021996,            0.061626,           0.0020613,             0.37301,           0.0038445,          0.00093911,              0.1022,            0.019069,             0.33377,            0.009406,            0.009406,            0.009406
                   5,            0.084077,            0.022871,            0.058663,           0.0038255,             0.77729,            0.016116,           0.0050365,                 nan,                 nan,             0.14493,            0.009208,            0.009208,            0.009208
                   6,            0.078757,            0.022817,            0.055767,             0.22691,             0.24727,            0.030135,           0.0081596,                 nan,                 nan,             0.14743,             0.00901,             0.00901,             0.00901
                   7,            0.070507,            0.023399,            0.053516,             0.32066,            0.061637,            0.084836,             0.03052,            0.074429,            0.012881,            0.076284,            0.008812,            0.008812,            0.008812
                   8,            0.068982,            0.021644,            0.050936,             0.36621,             0.22383,             0.14082,            0.050333,             0.05453,            0.015211,            0.052755,            0.008614,            0.008614,            0.008614
                   9,            0.061444,            0.021395,            0.049134,             0.34635,             0.26941,             0.20343,            0.079683,            0.057764,            0.017688,            0.051897,            0.008416,            0.008416,            0.008416
                  10,            0.060138,            0.020036,            0.049704,             0.23924,             0.52143,             0.24129,            0.092135,            0.053611,            0.011767,            0.049957,            0.008218,            0.008218,            0.008218
                  11,            0.059099,            0.019367,            0.048258,              0.1074,             0.42788,             0.16843,            0.061009,            0.051014,            0.011103,            0.047195,             0.00802,             0.00802,             0.00802
                  12,            0.056336,            0.017865,            0.045592,             0.31222,             0.45461,             0.24004,            0.098922,            0.052348,            0.013153,            0.046797,            0.007822,            0.007822,            0.007822
                  13,            0.054833,            0.017372,            0.045069,             0.13446,             0.56278,             0.31058,             0.14027,            0.047001,           0.0095933,            0.045031,            0.007624,            0.007624,            0.007624
                  14,            0.051452,             0.01605,            0.044908,             0.24171,             0.62919,             0.37559,             0.19465,            0.039542,            0.012432,            0.044635,            0.007426,            0.007426,            0.007426
                  15,            0.049208,            0.015153,            0.042706,             0.21609,             0.52915,             0.32793,             0.15266,            0.043458,            0.013728,             0.04397,            0.007228,            0.007228,            0.007228
                  16,            0.047102,            0.015476,            0.042417,             0.30901,             0.67004,             0.44111,             0.25689,            0.035085,           0.0091533,            0.042426,             0.00703,             0.00703,             0.00703
                  17,              0.0463,            0.014991,            0.041341,             0.32123,             0.75494,             0.47581,             0.27787,            0.032743,           0.0081786,             0.04145,            0.006832,            0.006832,            0.006832
                  18,            0.046233,            0.014196,            0.041387,             0.27921,             0.61053,             0.45698,             0.23094,             0.03899,           0.0082838,            0.041101,            0.006634,            0.006634,            0.006634
                  19,            0.044994,            0.014118,            0.040868,             0.29853,             0.73723,             0.47485,             0.20686,            0.049452,           0.0077219,            0.040714,            0.006436,            0.006436,            0.006436
                  20,            0.042876,            0.013245,            0.040048,             0.39222,             0.65477,             0.54169,             0.31977,            0.034024,           0.0081172,             0.04066,            0.006238,            0.006238,            0.006238
                  21,            0.041232,            0.013359,            0.039096,              0.4332,             0.70545,             0.55919,             0.30752,            0.036263,           0.0076738,            0.039313,             0.00604,             0.00604,             0.00604
                  22,            0.042126,            0.012958,            0.039866,             0.28664,             0.72421,             0.52353,             0.33107,            0.031897,           0.0074423,            0.039572,            0.005842,            0.005842,            0.005842
                  23,            0.039743,            0.012562,            0.039023,              0.3413,              0.7473,             0.56516,             0.35349,            0.030281,           0.0069438,            0.038996,            0.005644,            0.005644,            0.005644
                  24,            0.039699,             0.01251,            0.037422,              0.4144,             0.72145,             0.58344,             0.34775,            0.031989,           0.0066535,            0.037886,            0.005446,            0.005446,            0.005446
                  25,            0.039354,             0.01255,            0.036905,             0.37019,             0.76261,             0.55716,             0.33517,            0.031667,            0.006822,            0.038036,            0.005248,            0.005248,            0.005248
                  26,            0.037417,            0.012472,             0.03646,             0.39475,             0.75052,             0.57377,             0.37525,            0.030201,           0.0070073,            0.038373,             0.00505,             0.00505,             0.00505
                  27,            0.037211,            0.012588,            0.036823,             0.38566,             0.79728,             0.59421,             0.37189,            0.026998,           0.0066205,            0.037301,            0.004852,            0.004852,            0.004852
                  28,            0.036072,            0.012027,            0.036629,             0.45733,             0.74787,             0.61085,             0.40866,            0.029204,           0.0062617,            0.036914,            0.004654,            0.004654,            0.004654
                  29,            0.036703,            0.012073,            0.036363,             0.42928,             0.75782,             0.60244,             0.37405,            0.029829,           0.0063731,            0.036704,            0.004456,            0.004456,            0.004456
                  30,            0.034936,             0.01106,            0.038452,             0.39775,              0.7622,             0.59031,             0.35349,            0.030044,           0.0062828,            0.036441,            0.004258,            0.004258,            0.004258
                  31,            0.034317,            0.011703,            0.035862,             0.39267,             0.74624,             0.57898,             0.39616,             0.02605,              0.0063,            0.036465,             0.00406,             0.00406,             0.00406
                  32,            0.034411,            0.011669,            0.035702,             0.43917,             0.74443,             0.61252,             0.42971,            0.024116,           0.0063262,            0.035973,            0.003862,            0.003862,            0.003862
                  33,            0.032872,            0.011264,            0.035474,             0.37181,             0.74866,             0.60524,             0.39517,            0.025695,           0.0061005,            0.035786,            0.003664,            0.003664,            0.003664
                  34,            0.033383,             0.01129,            0.036018,             0.48966,             0.79562,              0.6183,             0.42263,            0.025194,           0.0060091,            0.035111,            0.003466,            0.003466,            0.003466
                  35,            0.030389,            0.010788,             0.03499,             0.42375,             0.80798,             0.62995,             0.44827,            0.022971,           0.0057913,            0.034989,            0.003268,            0.003268,            0.003268
                  36,            0.031618,            0.011227,             0.03426,             0.45855,             0.78324,             0.63456,             0.44614,            0.023393,           0.0057977,            0.034276,             0.00307,             0.00307,             0.00307
                  37,            0.032143,            0.011282,             0.03534,             0.49622,             0.71579,             0.60753,             0.41805,            0.024031,           0.0059649,             0.03444,            0.002872,            0.002872,            0.002872
                  38,            0.030666,            0.011056,            0.034068,             0.45011,             0.77283,             0.62446,             0.45687,            0.023328,            0.005704,            0.034274,            0.002674,            0.002674,            0.002674
                  39,            0.030389,            0.010652,            0.034223,             0.50428,             0.74504,             0.63879,             0.46522,            0.023535,             0.00564,             0.03388,            0.002476,            0.002476,            0.002476
                  40,             0.02976,            0.010841,            0.034218,             0.50548,             0.79122,             0.64712,             0.46091,            0.022446,           0.0055781,            0.033497,            0.002278,            0.002278,            0.002278
                  41,            0.028673,            0.010942,            0.033536,             0.51028,             0.79222,             0.64332,             0.47161,            0.021432,            0.005501,            0.032939,             0.00208,             0.00208,             0.00208
                  42,            0.029215,             0.01089,            0.032881,             0.49038,             0.78951,             0.65686,             0.48688,            0.021021,           0.0055955,            0.032909,            0.001882,            0.001882,            0.001882
                  43,            0.028577,             0.01014,            0.033892,             0.50566,              0.7787,             0.66286,             0.47982,            0.022144,           0.0055884,            0.031961,            0.001684,            0.001684,            0.001684
                  44,            0.027939,            0.010913,            0.032393,             0.47593,             0.78822,             0.66315,             0.49782,            0.020985,           0.0055429,             0.03223,            0.001486,            0.001486,            0.001486
                  45,            0.027884,            0.010545,            0.033386,             0.47741,             0.86426,             0.68097,             0.51318,             0.02093,           0.0054492,            0.031446,            0.001288,            0.001288,            0.001288
                  46,            0.027166,            0.010555,            0.032931,             0.51013,             0.83967,             0.68679,             0.49599,            0.021741,           0.0054448,            0.031134,             0.00109,             0.00109,             0.00109
                  47,            0.027922,             0.01084,            0.031998,             0.50482,             0.81051,             0.68998,             0.52024,            0.020533,           0.0054311,            0.030914,            0.000892,            0.000892,            0.000892
                  48,             0.02659,            0.010187,            0.033734,             0.47161,             0.82914,             0.68635,             0.52134,            0.020678,           0.0053934,            0.031025,            0.000694,            0.000694,            0.000694
                  49,            0.026458,            0.010244,            0.032747,             0.52664,             0.77438,             0.68654,             0.52043,             0.02125,           0.0054778,             0.03102,            0.000496,            0.000496,            0.000496
